Pt,Pd,Au,Ir,k,V0,u1,s1,A1,A2,File
0.1079,0.2247,0.4793,0.1881,11.377808825563921,1.7022136012915994,1.3740805894658554,0.0861950702554487,0.08165983386193874,0.013044236054238987,run11-2-spot3.DTA.csv
0.133,0.0667,0.6788,0.1215,14.421253669058792,1.7661253059680273,1.363967587661157,0.04980079979151184,0.11250679447720222,0.003756205536248106,run11-2-spot30.DTA.csv
0.0874,0.0536,0.6995,0.1595,12.30438663122223,1.727856439292229,1.4140494168042148,0.13734219319186866,0.07902286930702508,0.01782878711200232,run11-2-spot31.DTA.csv
0.0609,0.0549,0.6538,0.2304,11.593676577113992,1.7006267504010562,1.401864652220433,0.08177584107183256,0.07987137326934234,0.018668695207141307,run11-2-spot32.DTA.csv
0.0507,0.0578,0.5548,0.3367,9.452661976503741,1.7352728692932282,1.444587714109898,0.12515717143099953,0.08060783939398317,0.023857018015829394,run11-2-spot33.DTA.csv
0.449,0.0801,0.4301,0.0408,12.139757346935049,1.7856281345757028,1.244570641377021,0.07814419719621746,0.08484351839440814,0.003238862968704353,run11-2-spot34.DTA.csv
0.0743,0.2115,0.4438,0.2703,8.734982700829821,1.6972684278973669,1.3977254187678023,0.07540717542369742,0.0933112937209923,0.010485572284984519,run11-2-spot4.DTA.csv
0.0541,0.1918,0.3745,0.3796,9.434358636982802,1.6747449682927766,1.4270986359592976,0.11579707817792466,0.07222136263925537,0.021390430066486894,run11-2-spot5.DTA.csv
0.3033,0.1987,0.4302,0.0678,12.632092533824872,1.7647455448931377,1.2403257982169513,0.09486181351254269,0.08481332580330113,0.0038656103658800166,run11-2-spot6.DTA.csv
0.2191,0.1881,0.4972,0.0956,12.6954907551475,1.7534536927224078,1.3453003675905588,0.06877320693320692,0.08004125310626942,0.0029674144172566067,run11-2-spot7.DTA.csv
0.1544,0.1669,0.5517,0.127,12.176165942872448,1.7413163515463213,1.3591949847338947,0.06132057975882426,0.09546087770922891,0.0063863784492442545,run11-2-spot8.DTA.csv
0.1015,0.1495,0.5707,0.1783,11.934178224005874,1.7254894045954616,1.370370142117275,0.06264927587955121,0.10890069554434711,0.011189323647461329,run11-2-spot9.DTA.csv
0.3194,0.3605,0.2653,0.0549,12.78666939024059,1.7309658153168284,1.226143658623022,0.08152274344281774,0.0831040772829352,0.006784672035960951,run9-2-spot1.DTA.csv
0.2331,0.3578,0.3196,0.0895,11.69023012694256,1.6928781684541847,1.3636050625622649,0.10336795231809917,0.07672843561084507,0.012876932605972996,run9-2-spot10-2.DTA.csv
